0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
 10003167 ;AL ;ARAPIRACA ;Povoado Canaã ;RUA PROJETADA, N. 05, DOIS GALPÕES PARA DEPÓSITO ;20.510,00;350.000,00;94.14;Comercial, 0.00 de área total, 389.79 de área privativa, 542.12 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10003167,,,,,,,
 10008140 ;AL ;ARAPIRACA ;ALTO DO CRUZEIRO ;RUA MIGUEL OLIVEIRA, N. SN ;231.391,00;395.000,00;41.42;Gleba, 0.00 de área total, 0.00 de área privativa, 3484.22 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10008140,,,,,,,,
 10007470 ;AL ;BARRA DE SAO MIGUEL ;CENTRO ;RUA JOSE VIEIRA DE ANDRADE, N. S/N, LT 02 ;936.503,88;350.000,00;0.00;Casa, 299.00 de área total, 108.72 de área privativa, 149.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10007470,,,,,,,
 1444402399229 ;AL ;MACEIO ;CRUZ DAS ALMAS ;TRAVESSA BELO HORIZONTE, N. SN, DESMEMBRADO DE PARTE DO LT 87 ;530.000,00;530.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 135.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402399229,,,,,,,
 1444410253653 ;AL ;MACEIO ;SANTA AMELIA ;AVENIDA WALFRIDO GERONIMO DA ROCHA QUADRA P LOTE 0, N. 165 ;430.000,00;430.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 470.47 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410253653,,,,,,,,
 1444414467500 ;AL ;MARECHAL DEODORO ;POVOADO MUCURI ;RUA JOSE DAVI COSTA, N. S/N, AREA REMANESCENTE 03A ;582.862,00;790.000,00;26.22;Gleba, 6029.78 de área total, 0.00 de área privativa, 6029.78 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414467500,,,,,,,
 1444407641010 ;AL ;MARECHAL DEODORO ;Povoado Francês ;RUA  EM PROJETO, N. SN, LOTE 23 QUADRA B ;122.540,85;78.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407641010,,,,,,,
 1444402440636 ;AL ;PALMEIRA DOS INDIOS ;JUCA SAMPAIO ;RUA HELOISA COSTA SAMPAIO, QD X PARTE DOS LTS 05 E 06 ;99.400,00;142.000,00;30.00;Terreno, 0.00 de área total, 0.00 de área privativa, 389.80 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402440636,,,,,,,,
 1555515706668 ;AL ;PILAR ;CENTRO ;RUA PROJETO N 5, N. SN, LT 09 QD AS ;160.000,00;160.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 770.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555515706668,,,,,,,
 10171636 ;AL ;PIRANHAS ;VILA ALAGOAS ;RUA BELO MONTE, N. 00, ESQUINA COM A TRAVESSA BELO MONTE ;83.000,00;58.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 288.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171636,,,,,,,
 10137957 ;AL ;PORTO CALVO ;Zona Urbana ;RUA CANAAN II, N. S/N, LOTE 04 ;200.727,26;342.654,93;41.42;Gleba, 0.00 de área total, 0.00 de área privativa, 5110.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137957,,,,,,,
